title,description,price,bedrooms,bathrooms,sqft,property_type,status,image_url,address,city,state,zip_code
Charming Craftsman Bungalow,"Beautifully updated 1920s craftsman with original hardwood floors, built-in shelving, and a wraparound porch.",425000,3,2,1850,house,active,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?w=800,742 Evergreen Terrace,Austin,TX,78701
Modern Downtown Loft,"Open-concept loft with soaring ceilings, exposed brick, and floor-to-ceiling windows overlooking the city.",389000,1,1,950,condo,active,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800,200 Congress Ave Unit 1204,Austin,TX,78701
Lakefront Family Estate,"Stunning lakefront property with private dock, infinity pool, and panoramic water views from every room.",1250000,5,4,4200,house,active,https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=800,18 Lakeshore Dr,Austin,TX,78734
Cozy Hill Country Cottage,"A peaceful retreat nestled in the hills with a stone fireplace, chef's kitchen, and mature oak trees.",335000,2,2,1400,house,active,https://images.unsplash.com/photo-1518780664697-55e3ad937233?w=800,901 Bee Cave Rd,Dripping Springs,TX,78620
Sleek Urban Townhouse,"Three-story townhome with rooftop terrace, smart home features, and a two-car garage in a walkable neighborhood.",575000,3,3,2100,townhouse,active,https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?w=800,415 Rainey St,Austin,TX,78701
Renovated Mid-Century Ranch,"Fully renovated mid-century modern ranch with terrazzo floors, walnut cabinetry, and a resort-style backyard.",485000,3,2,1700,house,active,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800,3210 Balcones Dr,Austin,TX,78731
Luxury High-Rise Penthouse,"Penthouse suite with private elevator, marble finishes, and sweeping skyline views from two wraparound balconies.",2100000,3,3,3100,condo,active,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800,301 West Ave PH2,Austin,TX,78701
South Austin Starter Home,"Charming starter home in a friendly neighborhood with a large backyard, updated kitchen, and original charm.",295000,2,1,1100,house,active,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=800,4502 S 1st St,Austin,TX,78745
Westlake Contemporary Villa,"Architectural masterpiece with walls of glass, a cantilevered pool, and views of the Hill Country.",1850000,4,4,3800,house,active,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800,2701 Westlake Dr,Austin,TX,78746
East Austin Artist's Loft,"Converted warehouse loft in the heart of East Austin's arts district with polished concrete floors and skylights.",345000,1,1,1050,condo,active,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800,1100 E 5th St Unit 8,Austin,TX,78702
Historic Hyde Park Victorian,"Meticulously restored 1895 Victorian with stained glass windows, clawfoot tubs, and a carriage house.",625000,4,3,2600,house,active,https://images.unsplash.com/photo-1572120360610-d971b9d7767c?w=800,4100 Avenue G,Austin,TX,78751
Mueller Community Townhome,"Energy-efficient townhome in the award-winning Mueller community with parks, trails, and local shops.",415000,3,2,1650,townhouse,active,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?w=800,1820 Simond Ave,Austin,TX,78723
Barton Hills Retreat,"Tree-shaded retreat minutes from Barton Springs with a screened porch, updated bathrooms, and native landscaping.",510000,3,2,1550,house,active,https://images.unsplash.com/photo-1600573472550-8090b5e0745e?w=800,2400 Barton Hills Dr,Austin,TX,78704
Domain Luxury Apartment,"Resort-style living with concierge service, rooftop pool, and walkable access to shopping and dining.",375000,2,2,1200,apartment,active,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800,11600 Domain Dr Unit 305,Austin,TX,78758
Pflugerville Family Home,"Spacious family home with a game room, covered patio, and top-rated schools nearby.",365000,4,3,2400,house,active,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?w=800,1205 Pecan Crossing Dr,Pflugerville,TX,78660
Cedar Park Modern Farmhouse,"New construction modern farmhouse with shiplap accents, quartz countertops, and a barn-door pantry.",445000,4,3,2300,house,active,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800,800 Cypress Creek Rd,Cedar Park,TX,78613
Travis Heights Bungalow,"Classic Travis Heights bungalow with a deep front porch, original pine floors, and a detached studio.",540000,2,1,1250,house,active,https://images.unsplash.com/photo-1576941089067-2de3c901e126?w=800,1600 Travis Heights Blvd,Austin,TX,78704
Round Rock Cul-de-Sac Home,"Well-maintained home on a quiet cul-de-sac with a pool, three-car garage, and open floor plan.",395000,4,3,2550,house,active,https://images.unsplash.com/photo-1600566753086-00f18fb6b3ea?w=800,3401 Forest Creek Dr,Round Rock,TX,78665
SoCo Boutique Condo,"Stylish condo steps from South Congress with custom built-ins, designer lighting, and a private courtyard.",425000,2,2,1100,condo,active,https://images.unsplash.com/photo-1560185893-a55cbc8c57e8?w=800,1400 S Congress Ave Unit 6,Austin,TX,78704
Georgetown Colonial Estate,"Elegant colonial on 2 acres in the heart of Georgetown with a pool house, wine cellar, and formal gardens.",875000,5,4,3600,house,active,https://images.unsplash.com/photo-1600047509358-9dc75507daeb?w=800,500 University Ave,Georgetown,TX,78626
Zilker Park Cottage,"Walk-to-Zilker cottage with a sun-filled kitchen, native garden, and detached garage converted to an office.",465000,2,1,1150,house,active,https://images.unsplash.com/photo-1598228723793-52759bba239c?w=800,2000 Kinney Ave,Austin,TX,78704
